"module","module_content_number","multi_omics_num","include_genes","genes","include_metabolites","metabolites","include_pathways","pathways"
"Functional_module_184",1,1,TRUE,"CPZ",FALSE,NA,FALSE,NA
"Functional_module_185",1,1,TRUE,"CST3",FALSE,NA,FALSE,NA
"Functional_module_186",1,1,TRUE,"CSTB",FALSE,NA,FALSE,NA
"Functional_module_187",1,1,TRUE,"CSTL1",FALSE,NA,FALSE,NA
"Functional_module_188",1,1,TRUE,"CTNND2",FALSE,NA,FALSE,NA
"Functional_module_189",1,1,TRUE,"CTTNBP2",FALSE,NA,FALSE,NA
"Functional_module_19",1,1,TRUE,"AFAP1L2",FALSE,NA,FALSE,NA
"Functional_module_190",1,1,TRUE,"CUEDC1",FALSE,NA,FALSE,NA
"Functional_module_191",1,1,TRUE,"CYB561",FALSE,NA,FALSE,NA
"Functional_module_192",1,1,TRUE,"CYB5R2",FALSE,NA,FALSE,NA
"Functional_module_193",1,1,TRUE,"CYB5R4",FALSE,NA,FALSE,NA
"Functional_module_194",1,1,TRUE,"CYBA",FALSE,NA,FALSE,NA
"Functional_module_195",1,1,TRUE,"CYGB",FALSE,NA,FALSE,NA
"Functional_module_196",1,1,TRUE,"CYSTM1",FALSE,NA,FALSE,NA
"Functional_module_197",1,1,TRUE,"CYTH3",FALSE,NA,FALSE,NA
"Functional_module_198",2,1,TRUE,"DAB2IP/TRADD",FALSE,NA,FALSE,NA
"Functional_module_199",1,1,TRUE,"DAPK3",FALSE,NA,FALSE,NA
"Functional_module_2",35,2,TRUE,"ABCD2/ACAA1/ACSS2/ACTN3/AKT1/ALDH1L1/ALDH1L2/AMACR/BDH2/CDADC1/CRAT/CYP27A1/CYP4F12/DDO/ECI1/ECI2/ETFB/FUT1/GLUL/GNPDA1/GOT1/GPT2/HAAO/HAGH/MCAT/NPL/NQO2/PEX7/PFKP/PLA2G15/RENBP/SDSL/UPP1",FALSE,NA,TRUE,"GO:0043204/GO:0099572"
"Functional_module_20",1,1,TRUE,"AGFG2",FALSE,NA,FALSE,NA
"Functional_module_200",1,1,TRUE,"DBN1",FALSE,NA,FALSE,NA
"Functional_module_201",1,1,TRUE,"DBNDD2",FALSE,NA,FALSE,NA
"Functional_module_202",1,1,TRUE,"DBR1",FALSE,NA,FALSE,NA
"Functional_module_203",1,1,TRUE,"DCLK2",FALSE,NA,FALSE,NA
"Functional_module_204",4,1,TRUE,"DDA1/ESRRA/MED11/POLR2F",FALSE,NA,FALSE,NA
"Functional_module_205",1,1,TRUE,"DDOST",FALSE,NA,FALSE,NA
"Functional_module_206",1,1,TRUE,"DENND1A",FALSE,NA,FALSE,NA
"Functional_module_207",1,1,TRUE,"DENND2B",FALSE,NA,FALSE,NA
"Functional_module_208",1,1,TRUE,"DGCR2",FALSE,NA,FALSE,NA
"Functional_module_209",1,1,TRUE,"DHPS",FALSE,NA,FALSE,NA
"Functional_module_21",2,1,TRUE,"AGT/GNA11",FALSE,NA,FALSE,NA
"Functional_module_210",1,1,TRUE,"DHRS3",FALSE,NA,FALSE,NA
"Functional_module_211",1,1,TRUE,"DHRS7",FALSE,NA,FALSE,NA
"Functional_module_212",1,1,TRUE,"DIO2",FALSE,NA,FALSE,NA
"Functional_module_213",1,1,TRUE,"DLG2",FALSE,NA,FALSE,NA
"Functional_module_214",1,1,TRUE,"DMAC2L",FALSE,NA,FALSE,NA
"Functional_module_215",1,1,TRUE,"DMAP1",FALSE,NA,FALSE,NA
